antecedent,consequent,confidence,lift,support
"[""Organic Roasted Turkey Breast""]","[""Organic Raspberries""]",0.1460374,3.454998412,0.001249914
"[""Organic Raspberries""]","[""Organic Roasted Turkey Breast""]",0.029570862,3.454998412,0.001249914
"[""Organic Zucchini""]","[""Organic Italian Parsley Bunch""]",0.063194596,3.454874882,0.002210214
"[""Organic Italian Parsley Bunch""]","[""Organic Zucchini""]",0.120833333,3.454874882,0.002210214
"[""Organic Strawberries"",""Bag of Organic Bananas""]","[""Organic Carrot Bunch""]",0.045868575,3.454862156,0.001074621
"[""Organic Avocado"",""Banana""]","[""Limes""]",0.158844765,3.454643265,0.002682743
"[""Organic Strawberries"",""Bag of Organic Bananas""]","[""Organic Grade A Free Range Large Brown Eggs""]",0.046519193,3.454293619,0.001089864
"[""Organic Red Onion""]","[""Organic Lacinato (Dinosaur) Kale""]",0.04635935,3.454153329,0.001348993
"[""Organic Lacinato (Dinosaur) Kale""]","[""Organic Red Onion""]",0.100511073,3.454153329,0.001348993
"[""Large Lemon""]","[""Bunched Cilantro""]",0.050522434,3.452603142,0.003132407
"[""Bunched Cilantro""]","[""Large Lemon""]",0.2140625,3.452603142,0.003132407
"[""Organic Zucchini"",""Organic Hass Avocado""]","[""Organic Baby Spinach""]",0.257364341,3.451402068,0.001265157
"[""Organic Raspberries"",""Organic Baby Spinach""]","[""Bag of Organic Bananas""]",0.407068063,3.450322575,0.002370264
"[""Organic Zucchini"",""Organic Strawberries""]","[""Organic Baby Spinach""]",0.256990679,3.446391048,0.001470936
"[""Limes""]","[""Organic Ginger Root""]",0.052710094,3.445958538,0.002423614
"[""Organic Ginger Root""]","[""Limes""]",0.158445441,3.445958538,0.002423614
"[""Organic Fuji Apple"",""Strawberries""]","[""Banana""]",0.491525424,3.444011499,0.001105107
"[""Organic Avocado"",""Organic Baby Spinach""]","[""Limes""]",0.158345221,3.443778902,0.001691957
"[""Organic Lemon"",""Bag of Organic Bananas""]","[""Organic Strawberries""]",0.285848172,3.442799051,0.002324536
"[""Organic Cilantro""]","[""Organic Lemon""]",0.091888826,3.4398405,0.002469343
"[""Organic Lemon""]","[""Organic Cilantro""]",0.092439372,3.4398405,0.002469343
"[""Organic Red Onion"",""Organic Baby Spinach""]","[""Large Lemon""]",0.213225371,3.439101133,0.001204186
"[""Carrots""]","[""Organic Garnet Sweet Potato (Yam)""]",0.067280737,3.4376317,0.0012804
"[""Organic Garnet Sweet Potato (Yam)""]","[""Carrots""]",0.065420561,3.4376317,0.0012804
"[""Organic Cilantro"",""Bag of Organic Bananas""]","[""Organic Baby Spinach""]",0.256302521,3.437162457,0.001394721
"[""Organic Avocado"",""Organic Baby Spinach""]","[""Yellow Onions""]",0.098430813,3.433016629,0.001051757
"[""Organic Red Onion"",""Bag of Organic Bananas""]","[""Organic Baby Spinach""]",0.255900621,3.431772751,0.001570014
"[""Organic Red Onion""]","[""Organic Lemon""]",0.091671032,3.431687427,0.0026675
"[""Organic Lemon""]","[""Organic Red Onion""]",0.099857347,3.431687427,0.0026675
"[""Organic Raspberries""]","[""Organic Whole String Cheese""]",0.052109629,3.430633344,0.002202593
"[""Organic Whole String Cheese""]","[""Organic Raspberries""]",0.145007526,3.430633344,0.002202593
"[""Organic Whole Milk"",""Bag of Organic Bananas""]","[""Organic Raspberries""]",0.14490161,3.428127542,0.001234671
"[""Organic Strawberries"",""Banana""]","[""Organic Raspberries""]",0.144894204,3.427952334,0.00240075
"[""Organic Hass Avocado"",""Organic Strawberries""]","[""Organic Garlic""]",0.108512021,3.424183198,0.001272779
"[""Organic Zucchini""]","[""Organic Red Onion""]",0.099585966,3.422361202,0.003482993
"[""Organic Red Onion""]","[""Organic Zucchini""]",0.119696176,3.422361202,0.003482993
"[""Organic Whole Milk""]","[""Whipped Cream Cheese""]",0.028117359,3.4223104,0.001051757
"[""Whipped Cream Cheese""]","[""Organic Whole Milk""]",0.128014842,3.4223104,0.001051757
"[""Organic Yellow Onion""]","[""Organic Lacinato (Dinosaur) Kale""]",0.045920746,3.421473681,0.001501421
"[""Organic Lacinato (Dinosaur) Kale""]","[""Organic Yellow Onion""]",0.111868257,3.421473681,0.001501421
"[""Large Lemon"",""Bag of Organic Bananas""]","[""Organic Hass Avocado""]",0.190160833,3.421200148,0.001531907
"[""Limes""]","[""Organic Garlic""]",0.108403779,3.420767549,0.004984414
"[""Organic Garlic""]","[""Limes""]",0.157287157,3.420767549,0.004984414
"[""Organic Whole String Cheese""]","[""Organic Large Extra Fancy Fuji Apple""]",0.075263422,3.415855529,0.001143214
"[""Organic Large Extra Fancy Fuji Apple""]","[""Organic Whole String Cheese""]",0.051885161,3.415855529,0.001143214
"[""Organic Lemon"",""Organic Baby Spinach""]","[""Bag of Organic Bananas""]",0.402912621,3.415100913,0.001897736
"[""Apple Honeycrisp Organic""]","[""Organic Raspberries""]",0.144316163,3.414276863,0.002476964
"[""Organic Raspberries""]","[""Apple Honeycrisp Organic""]",0.058600793,3.414276863,0.002476964
"[""Honeycrisp Apple"",""Strawberries""]","[""Banana""]",0.486842105,3.411196507,0.001409964
"[""Red Raspberries""]","[""Strawberries""]",0.168787676,3.41029599,0.0019206
"[""Strawberries""]","[""Red Raspberries""]",0.038805051,3.41029599,0.0019206
"[""Asparagus"",""Large Lemon""]","[""Organic Avocado""]",0.192307692,3.405655284,0.001028893
"[""Organic Kiwi""]","[""Organic Lemon""]",0.090957447,3.404974505,0.001303264
"[""Organic Lemon""]","[""Organic Kiwi""]",0.048787447,3.404974505,0.001303264
"[""Organic Strawberries""]","[""Organic AppleApple""]",0.016890031,3.404184493,0.001402343
"[""Organic AppleApple""]","[""Organic Strawberries""]",0.282642089,3.404184493,0.001402343
"[""Organic Avocado"",""Banana""]","[""Michigan Organic Kale""]",0.068140794,3.403382364,0.001150836
"[""Organic Zucchini"",""Bag of Organic Bananas""]","[""Organic Strawberries""]",0.282420749,3.401518643,0.0022407
"[""Organic Cucumber"",""Bag of Organic Bananas""]","[""Organic Baby Spinach""]",0.253154574,3.3949467,0.002446479
"[""Organic Avocado"",""Large Lemon""]","[""Asparagus""]",0.100074129,3.394681073,0.001028893
"[""Organic Avocado"",""Banana""]","[""Organic Peeled Whole Baby Carrots""]",0.063628159,3.393734591,0.001074621
"[""Organic Zucchini"",""Large Lemon""]","[""Organic Avocado""]",0.191576087,3.392698987,0.001074621
"[""Organic Small Bunch Celery"",""Bag of Organic Bananas""]","[""Organic Strawberries""]",0.28164557,3.39218226,0.001356614
"[""Organic Granny Smith Apple"",""Bag of Organic Bananas""]","[""Organic Strawberries""]",0.281538462,3.390892234,0.001394721
"[""Organic Garnet Sweet Potato (Yam)""]","[""Organic Cilantro""]",0.091121495,3.390799853,0.001783414
"[""Organic Cilantro""]","[""Organic Garnet Sweet Potato (Yam)""]",0.066364152,3.390799853,0.001783414
"[""Carrots""]","[""Fresh Cauliflower""]",0.068482179,3.389467436,0.001303264
"[""Fresh Cauliflower""]","[""Carrots""]",0.064503961,3.389467436,0.001303264
"[""Organic Zucchini"",""Large Lemon""]","[""Organic Baby Spinach""]",0.252717391,3.38908383,0.001417586
"[""Organic Cucumber"",""Organic Hass Avocado""]","[""Organic Baby Spinach""]",0.252707581,3.388952272,0.0016005
"[""Organic Avocado"",""Organic Baby Spinach""]","[""Organic Cucumber""]",0.119115549,3.388040775,0.001272779
"[""Strawberries"",""Banana""]","[""Organic Blackberries""]",0.073408624,3.387925493,0.001089864
"[""Organic Yellow Onion""]","[""Organic Tomato Cluster""]",0.065501166,3.386265731,0.002141621
"[""Organic Tomato Cluster""]","[""Organic Yellow Onion""]",0.1107171,3.386265731,0.002141621
"[""Organic Ginger Root""]","[""Organic Garnet Sweet Potato (Yam)""]",0.066268062,3.385890233,0.00101365
"[""Organic Garnet Sweet Potato (Yam)""]","[""Organic Ginger Root""]",0.051791277,3.385890233,0.00101365
"[""Organic Broccoli""]","[""Organic Hass Avocado""]",0.188142771,3.384893021,0.002370264
"[""Organic Hass Avocado""]","[""Organic Broccoli""]",0.042643631,3.384893021,0.002370264
"[""Organic Raspberries"",""Bag of Organic Bananas""]","[""Organic Blueberries""]",0.128089888,3.384322607,0.001737686
"[""Organic Baby Broccoli""]","[""Organic Hass Avocado""]",0.188008882,3.382484223,0.001935843
"[""Organic Hass Avocado""]","[""Organic Baby Broccoli""]",0.034827917,3.382484223,0.001935843
"[""Organic Garlic"",""Organic Baby Spinach""]","[""Organic Avocado""]",0.190997567,3.38245374,0.001196564
"[""Organic Strawberries"",""Banana""]","[""Honeycrisp Apple""]",0.091536339,3.382256109,0.001516664
"[""Organic Roasted Turkey Breast""]","[""Organic Hass Avocado""]",0.187889581,3.380337871,0.001608121
"[""Organic Hass Avocado""]","[""Organic Roasted Turkey Breast""]",0.028931852,3.380337871,0.001608121
"[""Organic Tomato Cluster"",""Organic Strawberries""]","[""Bag of Organic Bananas""]",0.39835729,3.376489768,0.001478557
"[""Organic Strawberries"",""Banana""]","[""Seedless Red Grapes""]",0.104415823,3.375288438,0.001730064
"[""Organic Unsweetened Almond Milk"",""Bag of Organic Bananas""]","[""Organic Baby Spinach""]",0.251633987,3.374554762,0.0011737
"[""Organic Garlic"",""Organic Strawberries""]","[""Organic Baby Spinach""]",0.2515625,3.373596082,0.00122705
"[""Organic Blueberries""]","[""Organic Blackberries""]",0.07309706,3.373546306,0.002766579
"[""Organic Blackberries""]","[""Organic Blueberries""]",0.127682026,3.373546306,0.002766579
"[""Organic Broccoli"",""Bag of Organic Bananas""]","[""Organic Baby Spinach""]",0.251428571,3.371800023,0.001006029
"[""Organic Avocado"",""Bag of Organic Bananas""]","[""Organic Baby Spinach""]",0.251401869,3.371441931,0.002050164
"[""Organic Navel Orange""]","[""Organic Hass Avocado""]",0.187373737,3.371057275,0.00282755
"[""Organic Hass Avocado""]","[""Organic Navel Orange""]",0.050870698,3.371057275,0.00282755
"[""Organic Baby Spinach"",""Organic Strawberries""]","[""Organic Zucchini""]",0.117754728,3.366851203,0.001470936
"[""Organic Hass Avocado"",""Organic Baby Spinach""]","[""Bag of Organic Bananas""]",0.396964856,3.364687456,0.00378785
"[""Organic Red Radish, Bunch""]","[""Limes""]",0.154658982,3.363608542,0.00122705
"[""Limes""]","[""Organic Red Radish, Bunch""]",0.026686557,3.363608542,0.00122705
"[""Organic Tomato Cluster""]","[""Organic Cilantro""]",0.090228526,3.357570823,0.001745307
"[""Organic Cilantro""]","[""Organic Tomato Cluster""]",0.064946115,3.357570823,0.001745307
"[""Feta Cheese Crumbles""]","[""Organic Cucumber""]",0.118012422,3.356664194,0.001303264
"[""Organic Cucumber""]","[""Feta Cheese Crumbles""]",0.037069152,3.356664194,0.001303264
"[""Organic Navel Orange"",""Bag of Organic Bananas""]","[""Organic Strawberries""]",0.27862069,3.355750144,0.001539529
"[""Organic Broccoli""]","[""Organic Baby Carrots""]",0.091954023,3.354238366,0.001158457
"[""Organic Baby Carrots""]","[""Organic Broccoli""]",0.042257437,3.354238366,0.001158457
"[""Organic Carrot Bunch""]","[""Organic Red Onion""]",0.097588978,3.353732907,0.001295643
"[""Organic Red Onion""]","[""Organic Carrot Bunch""]",0.04452593,3.353732907,0.001295643
"[""Organic Hass Avocado"",""Organic Baby Spinach""]","[""Limes""]",0.154153355,3.352611886,0.001470936
"[""Organic Whole String Cheese""]","[""Organic Gala Apples""]",0.071751129,3.351510815,0.001089864
"[""Organic Gala Apples""]","[""Organic Whole String Cheese""]",0.050907796,3.351510815,0.001089864
"[""Organic Garlic"",""Organic Baby Spinach""]","[""Organic Hass Avocado""]",0.186131387,3.348706038,0.001166079
"[""Organic D'Anjou Pears""]","[""Organic Hass Avocado""]",0.18594823,3.345410853,0.002682743
"[""Organic Hass Avocado""]","[""Organic D'Anjou Pears""]",0.04826546,3.345410853,0.002682743
"[""Organic Kiwi""]","[""Organic Cucumber""]",0.117553191,3.343602147,0.001684336
"[""Organic Cucumber""]","[""Organic Kiwi""]",0.047908086,3.343602147,0.001684336
"[""Organic Strawberries"",""Bag of Organic Bananas""]","[""Organic Gala Apples""]",0.07156799,3.342956335,0.001676714
"[""Organic Zucchini"",""Organic Baby Spinach""]","[""Limes""]",0.153684211,3.342408682,0.001112729
"[""Organic Strawberries"",""Bag of Organic Bananas""]","[""Organic Granny Smith Apple""]",0.059531555,3.342351646,0.001394721
"[""Organic Hass Avocado""]","[""Organic Bartlett Pear""]",0.024955437,3.341201935,0.0013871
"[""Organic Bartlett Pear""]","[""Organic Hass Avocado""]",0.185714286,3.341201935,0.0013871
"[""Michigan Organic Kale""]","[""Organic Garlic""]",0.105824134,3.33936479,0.002118757
"[""Organic Garlic""]","[""Michigan Organic Kale""]",0.066859067,3.33936479,0.002118757
"[""Organic Avocado"",""Organic Strawberries""]","[""Large Lemon""]",0.206801471,3.335490369,0.001714821
"[""Michigan Organic Kale""]","[""Organic Cucumber""]",0.117244005,3.334807846,0.0023474
"[""Organic Cucumber""]","[""Michigan Organic Kale""]",0.06676783,3.334807846,0.0023474
"[""Organic Whole Milk""]","[""Unsalted Butter""]",0.036471068,3.334726352,0.001364236
"[""Unsalted Butter""]","[""Organic Whole Milk""]",0.124738676,3.334726352,0.001364236
"[""Organic Raspberries""]","[""Organic Navel Orange""]",0.050306527,3.333671278,0.002126379
"[""Organic Navel Orange""]","[""Organic Raspberries""]",0.140909091,3.333671278,0.002126379
"[""Organic Strawberries"",""Banana""]","[""Organic Blackberries""]",0.072217111,3.332935265,0.001196564
"[""Organic Whole Milk"",""Organic Raspberries""]","[""Bag of Organic Bananas""]",0.393203883,3.332809325,0.001234671
"[""Organic Hass Avocado""]","[""Organic Kiwi""]",0.047716989,3.330265104,0.002652257
"[""Organic Kiwi""]","[""Organic Hass Avocado""]",0.185106383,3.330265104,0.002652257
"[""Organic Grape Tomatoes"",""Organic Baby Spinach""]","[""Large Lemon""]",0.206367925,3.328497727,0.00133375
"[""Organic Baby Spinach""]","[""Organic Shredded Carrots""]",0.021054783,3.328406102,0.001570014
"[""Organic Shredded Carrots""]","[""Organic Baby Spinach""]",0.248192771,3.328406102,0.001570014
"[""Broccoli Crown""]","[""Organic Zucchini""]",0.116302865,3.325339422,0.002598907
"[""Organic Zucchini""]","[""Broccoli Crown""]",0.074308128,3.325339422,0.002598907
"[""Organic Peeled Whole Baby Carrots"",""Bag of Organic Bananas""]","[""Organic Strawberries""]",0.276041667,3.324687997,0.001211807
"[""Organic Whole String Cheese"",""Organic Strawberries""]","[""Bag of Organic Bananas""]",0.39223301,3.324580166,0.001539529
"[""Asparagus"",""Large Lemon""]","[""Organic Baby Spinach""]",0.247863248,3.323987008,0.001326129
"[""Organic Cilantro""]","[""Carrots""]",0.06324447,3.32328539,0.001699579
"[""Carrots""]","[""Organic Cilantro""]",0.089307169,3.32328539,0.001699579
"[""Organic Blueberries"",""Bag of Organic Bananas""]","[""Organic Hass Avocado""]",0.18469657,3.322892122,0.0016005
"[""Organic Red Onion""]","[""Red Vine Tomato""]",0.056574123,3.322754722,0.001646229
"[""Red Vine Tomato""]","[""Organic Red Onion""]",0.096687556,3.322754722,0.001646229
"[""Small Hass Avocado"",""Bag of Organic Bananas""]","[""Organic Strawberries""]",0.275862069,3.322524895,0.001097486
"[""Organic Avocado"",""Large Lemon""]","[""Organic Baby Spinach""]",0.247590808,3.320333435,0.002545557
"[""Organic Strawberries""]","[""Organic Bartlett Pear""]",0.024784285,3.318286981,0.002057786
"[""Organic Bartlett Pear""]","[""Organic Strawberries""]",0.275510204,3.318286981,0.002057786
"[""Organic Zucchini"",""Organic Strawberries""]","[""Bag of Organic Bananas""]",0.391478029,3.318180927,0.0022407
"[""Organic Cucumber"",""Organic Raspberries""]","[""Organic Baby Spinach""]",0.247349823,3.317101693,0.001067
"[""Organic Baby Broccoli""]","[""Organic Garlic""]",0.105107328,3.316745403,0.001082243
"[""Organic Garlic""]","[""Organic Baby Broccoli""]",0.034151034,3.316745403,0.001082243
"[""Organic Baby Spinach""]","[""Organic Whole Strawberries""]",0.030662306,3.316711032,0.002286429
"[""Organic Whole Strawberries""]","[""Organic Baby Spinach""]",0.247320692,3.316711032,0.002286429
"[""Organic Lemon""]","[""Organic Red Bell Pepper""]",0.060485021,3.316414197,0.001615743
"[""Organic Red Bell Pepper""]","[""Organic Lemon""]",0.088591726,3.316414197,0.001615743
"[""Organic Red Onion""]","[""Organic Small Bunch Celery""]",0.06626506,3.314743534,0.001928221
"[""Organic Small Bunch Celery""]","[""Organic Red Onion""]",0.096454441,3.314743534,0.001928221
"[""Broccoli Crown"",""Banana""]","[""Large Lemon""]",0.205405405,3.312973305,0.001448071
"[""Organic Yellow Onion""]","[""Organic Zucchini""]",0.115850816,3.312414403,0.00378785
"[""Organic Zucchini""]","[""Organic Yellow Onion""]",0.108302462,3.312414403,0.00378785
"[""Organic Kiwi""]","[""Organic Strawberries""]",0.275,3.312142005,0.003940278
"[""Organic Strawberries""]","[""Organic Kiwi""]",0.047457316,3.312142005,0.003940278
"[""Organic Broccoli""]","[""Organic Yellow Onion""]",0.108287961,3.311970889,0.001364236
"[""Organic Yellow Onion""]","[""Organic Broccoli""]",0.041724942,3.311970889,0.001364236
"[""Organic Raspberries""]","[""Organic Bell Pepper""]",0.023800938,3.311661955,0.001006029
"[""Organic Bell Pepper""]","[""Organic Raspberries""]",0.139978791,3.311661955,0.001006029
"[""Organic Italian Parsley Bunch""]","[""Michigan Organic Kale""]",0.06625,3.308944138,0.001211807
"[""Michigan Organic Kale""]","[""Organic Italian Parsley Bunch""]",0.060525314,3.308944138,0.001211807
"[""Asparagus"",""Bag of Organic Bananas""]","[""Organic Strawberries""]",0.274725275,3.308833172,0.001524286
"[""Limes"",""Bag of Organic Bananas""]","[""Organic Strawberries""]",0.274678112,3.308265132,0.001951086
"[""Organic Italian Parsley Bunch""]","[""Organic Cucumber""]",0.11625,3.306535064,0.002126379
"[""Organic Cucumber""]","[""Organic Italian Parsley Bunch""]",0.060481249,3.306535064,0.002126379
"[""Organic Raspberries""]","[""Organic Blueberries""]",0.125135233,3.30625629,0.005289271
"[""Organic Blueberries""]","[""Organic Raspberries""]",0.139750302,3.30625629,0.005289271
"[""Organic Hass Avocado""]","[""Organic Raspberries""]",0.139723022,3.305610891,0.007766236
"[""Organic Raspberries""]","[""Organic Hass Avocado""]",0.183736026,3.305610891,0.007766236
"[""Organic Navel Orange""]","[""Organic Cucumber""]",0.116161616,3.304021135,0.001752929
"[""Organic Cucumber""]","[""Organic Navel Orange""]",0.049859094,3.304021135,0.001752929
"[""Organic Garlic""]","[""Organic Black Beans""]",0.03968254,3.303747684,0.001257536
"[""Organic Black Beans""]","[""Organic Garlic""]",0.104695431,3.303747684,0.001257536
"[""Organic Strawberries""]","[""YoKids Squeezers Organic Low-Fat Yogurt, Strawberry""]",0.018450523,3.302694,0.001531907
"[""YoKids Squeezers Organic Low-Fat Yogurt, Strawberry""]","[""Organic Strawberries""]",0.274215553,3.302694,0.001531907
"[""Organic Yellow Onion"",""Banana""]","[""Large Lemon""]",0.204712813,3.301802517,0.001059379
"[""Red Peppers""]","[""Yellow Onions""]",0.094664372,3.301652726,0.002095893
"[""Yellow Onions""]","[""Red Peppers""]",0.073099415,3.301652726,0.002095893
"[""Organic Red Onion""]","[""Red Peppers""]",0.073074908,3.300545834,0.002126379
"[""Red Peppers""]","[""Organic Red Onion""]",0.096041308,3.300545834,0.002126379
"[""Organic Blueberries"",""Banana""]","[""Strawberries""]",0.163243243,3.298272667,0.001150836
"[""Organic Zucchini"",""Bag of Organic Bananas""]","[""Organic Baby Spinach""]",0.245917387,3.29789191,0.001951086
"[""Organic Baby Spinach""]","[""Berry Medley""]",0.016762061,3.29735112,0.001249914
"[""Berry Medley""]","[""Organic Baby Spinach""]",0.245877061,3.29735112,0.001249914
"[""Grated Parmesan""]","[""Organic Garlic""]",0.104486423,3.297152244,0.001348993
"[""Organic Garlic""]","[""Grated Parmesan""]",0.042568543,3.297152244,0.001348993
"[""Garlic""]","[""Organic Cilantro""]",0.088541667,3.294799643,0.001295643
"[""Organic Cilantro""]","[""Garlic""]",0.048213273,3.294799643,0.001295643
"[""Organic Tomato Cluster"",""Bag of Organic Bananas""]","[""Organic Baby Spinach""]",0.245669291,3.294564805,0.001188943
"[""Organic Raspberries"",""Organic Strawberries""]","[""Bag of Organic Bananas""]",0.388622754,3.293979522,0.004946307
"[""Organic Red Bell Pepper""]","[""Carrots""]",0.062682825,3.293772837,0.001143214
"[""Carrots""]","[""Organic Red Bell Pepper""]",0.060072087,3.293772837,0.001143214
"[""Limes"",""Organic Hass Avocado""]","[""Organic Baby Spinach""]",0.245547074,3.292925798,0.001470936
"[""Organic Zucchini""]","[""Organic Small Bunch Celery""]",0.065809545,3.291957504,0.002301671
"[""Organic Small Bunch Celery""]","[""Organic Zucchini""]",0.115135341,3.291957504,0.002301671
"[""Organic Baby Spinach"",""Bag of Organic Bananas""]","[""Organic Raspberries""]",0.139087657,3.290579215,0.002370264
"[""Organic Strawberries"",""Banana""]","[""Organic Peeled Whole Baby Carrots""]",0.061637534,3.287560676,0.001021271
"[""Organic Cucumber"",""Organic Baby Spinach""]","[""Limes""]",0.151125402,3.286758306,0.001074621
"[""Organic Garlic"",""Large Lemon""]","[""Organic Baby Spinach""]",0.244871795,3.283869924,0.001455693
"[""Seedless Red Grapes"",""Bag of Organic Bananas""]","[""Organic Hass Avocado""]",0.18251928,3.283720312,0.001082243
"[""Organic Avocado"",""Banana""]","[""Organic Grape Tomatoes""]",0.09566787,3.283412388,0.001615743
"[""Organic Large Extra Fancy Fuji Apple""]","[""Organic Granny Smith Apple""]",0.058457281,3.282037403,0.001288021
"[""Organic Granny Smith Apple""]","[""Organic Large Extra Fancy Fuji Apple""]",0.072314934,3.282037403,0.001288021
"[""Large Lemon""]","[""Green Beans""]",0.029010449,3.281406863,0.001798657
"[""Green Beans""]","[""Large Lemon""]",0.203448276,3.281406863,0.001798657
"[""Organic Baby Broccoli""]","[""Organic Zucchini""]",0.11472983,3.280363093,0.001181321
"[""Organic Zucchini""]","[""Organic Baby Broccoli""]",0.033776422,3.280363093,0.001181321
"[""Honeycrisp Apple"",""Banana""]","[""Organic Avocado""]",0.185215272,3.280052725,0.001737686
"[""Asparagus"",""Organic Strawberries""]","[""Organic Baby Spinach""]",0.244479495,3.278608963,0.001181321
"[""Organic Baby Spinach"",""Banana""]","[""Yellow Onions""]",0.094,3.278481127,0.001432829
"[""Large Lemon""]","[""Jalapeno Peppers""]",0.047449293,3.27844882,0.002941871
"[""Jalapeno Peppers""]","[""Large Lemon""]",0.203264876,3.27844882,0.002941871
"[""Organic Avocado"",""Organic Strawberries""]","[""Organic Blueberries""]",0.124080882,3.27839881,0.001028893
"[""Red Vine Tomato""]","[""Red Peppers""]",0.072515667,3.275286798,0.001234671
"[""Red Peppers""]","[""Red Vine Tomato""]",0.055765921,3.275286798,0.001234671
"[""Organic Baby Spinach"",""Bag of Organic Bananas""]","[""Organic Zucchini""]",0.114490161,3.273510467,0.001951086
"[""Organic Strawberries""]","[""Cantaloupe""]",0.030291904,3.271251363,0.002515071
"[""Organic Gala Apples"",""Bag of Organic Bananas""]","[""Organic Strawberries""]",0.271604938,3.271251363,0.001676714
"[""Cantaloupe""]","[""Organic Strawberries""]",0.271604938,3.271251363,0.002515071
"[""Organic Lemon"",""Organic Hass Avocado""]","[""Organic Strawberries""]",0.271446863,3.26934748,0.001615743
"[""Organic Avocado"",""Organic Strawberries""]","[""Organic Whole Milk""]",0.122242647,3.267998264,0.00101365
"[""Organic Baby Spinach"",""Bag of Organic Bananas""]","[""Organic Small Bunch Celery""]",0.06529517,3.266227203,0.001112729
"[""Organic Small Bunch Celery"",""Organic Strawberries""]","[""Bag of Organic Bananas""]",0.385281385,3.265657964,0.001356614
"[""Organic Baby Arugula"",""Bag of Organic Bananas""]","[""Organic Baby Spinach""]",0.243478261,3.265181841,0.001067
"[""Organic Yellow Onion""]","[""Fresh Cauliflower""]",0.065967366,3.264998914,0.002156864
"[""Fresh Cauliflower""]","[""Organic Yellow Onion""]",0.106752169,3.264998914,0.002156864
"[""Organic Strawberries"",""Bag of Organic Bananas""]","[""Organic Tomato Cluster""]",0.063109954,3.262645396,0.001478557
"[""Organic Baby Spinach"",""Bag of Organic Bananas""]","[""Michigan Organic Kale""]",0.06529517,3.261253884,0.001112729
"[""Organic Hass Avocado"",""Bag of Organic Bananas""]","[""Organic Garlic""]",0.103305785,3.259896287,0.001905357
"[""Organic Yellow Onion"",""Organic Strawberries""]","[""Bag of Organic Bananas""]",0.384500745,3.259041232,0.001966329
"[""Organic Avocado"",""Organic Strawberries""]","[""Limes""]",0.149816176,3.258284551,0.001242293
"[""Organic Whole String Cheese""]","[""Organic Baby Carrots""]",0.089312594,3.25788606,0.001356614
"[""Organic Baby Carrots""]","[""Organic Whole String Cheese""]",0.049485683,3.25788606,0.001356614
"[""Organic Yellow Onion"",""Organic Strawberries""]","[""Organic Baby Spinach""]",0.242921013,3.257708836,0.001242293
"[""Organic Baby Arugula""]","[""Organic Red Onion""]",0.094765652,3.256706757,0.002111136
"[""Organic Red Onion""]","[""Organic Baby Arugula""]",0.072551074,3.256706757,0.002111136
"[""Cucumber Kirby"",""Banana""]","[""Large Lemon""]",0.201884253,3.256180818,0.001143214
"[""Yellow Onions""]","[""Organic Garlic""]",0.103136629,3.254558445,0.002957114
"[""Organic Garlic""]","[""Yellow Onions""]",0.093314093,3.254558445,0.002957114
"[""Strawberries"",""Organic Avocado""]","[""Banana""]",0.464347826,3.253583996,0.002034921
"[""Organic Red Onion"",""Limes""]","[""Organic Baby Spinach""]",0.242424242,3.251046854,0.001219429
"[""Organic Avocado"",""Banana""]","[""Organic Garnet Sweet Potato (Yam)""]",0.063628159,3.251007435,0.001074621
"[""Organic Gala Apples""]","[""Organic Cucumber""]",0.114275543,3.250374964,0.002446479
"[""Organic Cucumber""]","[""Organic Gala Apples""]",0.069585953,3.250374964,0.002446479
"[""Organic Gala Apples"",""Organic Strawberries""]","[""Bag of Organic Bananas""]",0.383275261,3.24865399,0.001676714
"[""Organic Red Onion""]","[""Carrots""]",0.061812467,3.248038453,0.001798657
"[""Carrots""]","[""Organic Red Onion""]",0.094513416,3.248038453,0.001798657
"[""Organic Garlic""]","[""Organic Zucchini""]",0.113516114,3.245660435,0.003597314
"[""Organic Zucchini""]","[""Organic Garlic""]",0.102854652,3.245660435,0.003597314
"[""Organic Baby Arugula"",""Organic Hass Avocado""]","[""Bag of Organic Bananas""]",0.38292011,3.245643717,0.001059379
"[""Organic Broccoli"",""Organic Baby Spinach""]","[""Bag of Organic Bananas""]",0.382608696,3.243004157,0.001006029
"[""Organic Hass Avocado""]","[""Organic Cucumber""]",0.113944879,3.240969777,0.006333407
"[""Organic Cucumber""]","[""Organic Hass Avocado""]",0.180143074,3.240969777,0.006333407
"[""Organic Garnet Sweet Potato (Yam)"",""Bag of Organic Bananas""]","[""Organic Strawberries""]",0.268987342,3.239724631,0.001295643
"[""Organic Fuji Apple"",""Organic Avocado""]","[""Banana""]",0.462162162,3.238269526,0.001303264
"[""Organic Grade A Free Range Large Brown Eggs"",""Organic Strawberries""]","[""Bag of Organic Bananas""]",0.381333333,3.232194143,0.001089864
"[""Organic Red Onion""]","[""Michigan Organic Kale""]",0.064693557,3.231205519,0.001882493
"[""Michigan Organic Kale""]","[""Organic Red Onion""]",0.094023601,3.231205519,0.001882493
"[""Organic Tomato Cluster""]","[""Organic Italian Parsley Bunch""]",0.059101655,3.231112096,0.001143214
"[""Organic Italian Parsley Bunch""]","[""Organic Tomato Cluster""]",0.0625,3.231112096,0.001143214
"[""Organic Thyme""]","[""Large Lemon""]",0.2,3.225789797,0.00101365
